N,종목명,현재가,전일비,등락률,액면가,시가,고가,매출액
1019.0,DL이앤씨우,25050.0,500.0,+2.04%,5000.0,24900.0,25250.0,
1020.0,부산주공,726.0,21.0,-2.81%,500.0,735.0,792.0,1868.0
1021.0,삼성 코스피 풋매도 ETN,10490.0,0.0,0.00%,0.0,10490.0,10490.0,
1022.0,KODEX K-미래차액티브,9185.0,45.0,-0.49%,0.0,9260.0,9305.0,
1023.0,진양폴리,5230.0,200.0,-3.68%,500.0,5430.0,5470.0,531.0
1024.0,롯데칠성우,67300.0,700.0,-1.03%,500.0,68000.0,68600.0,
1025.0,동원금속,1115.0,30.0,+2.76%,500.0,1085.0,1120.0,3874.0
1026.0,윌비스,772.0,1.0,-0.13%,1000.0,773.0,782.0,2765.0
1027.0,성안,900.0,20.0,+2.27%,500.0,885.0,914.0,789.0
1028.0,동일제강,2505.0,20.0,-0.79%,500.0,2500.0,2745.0,1822.0
1029.0,TIGER 미국필라델피아반도체레버리지(합성),8355.0,70.0,-0.83%,0.0,8460.0,8505.0,
1030.0,태양금속,1370.0,25.0,+1.86%,500.0,1345.0,1370.0,4630.0
1031.0,히어로즈 단기채권ESG액티브,100000.0,0.0,0.00%,0.0,100000.0,100000.0,
1032.0,세우글로벌,1740.0,130.0,-6.95%,500.0,1860.0,1930.0,324.0
1033.0,TIGER 퓨처모빌리티액티브,9340.0,60.0,-0.64%,0.0,9455.0,9470.0,
1034.0,KOSEF 통안채1년,101355.0,15.0,+0.01%,0.0,101345.0,101360.0,
1035.0,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,19820.0,915.0,+4.84%,0.0,19900.0,19975.0,
1036.0,형지엘리트,1590.0,5.0,+0.32%,500.0,1585.0,1665.0,1373.0
1037.0,KBSTAR 대형고배당10TR,13925.0,80.0,+0.58%,0.0,13970.0,14050.0,
1038.0,영화금속,923.0,3.0,-0.32%,500.0,929.0,930.0,2355.0
1039.0,키움 코스피 200 ETN,9855.0,0.0,0.00%,0.0,9855.0,9855.0,
1040.0,TIGER 코스닥150 레버리지,7990.0,225.0,-2.74%,0.0,8295.0,8360.0,
1041.0,참엔지니어링,831.0,25.0,-2.92%,500.0,856.0,864.0,1506.0
1042.0,에이엔피,1635.0,15.0,-0.91%,500.0,1640.0,1670.0,693.0
1043.0,KODEX 미국S&P500배당귀족커버드콜(합성 H),9310.0,20.0,-0.21%,0.0,9330.0,9330.0,
1044.0,TIGER 글로벌BBIG액티브,9695.0,65.0,-0.67%,0.0,9730.0,9730.0,
1045.0,미래에셋 레버리지 코스피200 선물 ETN,23845.0,110.0,-0.46%,0.0,23870.0,24225.0,
1046.0,KODEX 차이나H레버리지(H),1890.0,20.0,-1.05%,0.0,1970.0,1995.0,
1047.0,신풍,1350.0,10.0,-0.74%,500.0,1360.0,1365.0,259.0
1048.0,KODEX 코스피TR,11580.0,15.0,-0.13%,0.0,11680.0,11680.0,
1049.0,이화산업,16500.0,450.0,+2.80%,5000.0,16050.0,16700.0,578.0
1050.0,바다로19호,3025.0,5.0,+0.17%,5000.0,3010.0,3030.0,114.0
1051.0,HANARO 단기채권액티브,101390.0,0.0,0.00%,0.0,101390.0,101390.0,
1052.0,다이나믹디자인,4585.0,225.0,-4.68%,500.0,4780.0,4805.0,530.0
1053.0,HANARO Fn K-뉴딜디지털플러스,9020.0,65.0,-0.72%,0.0,9090.0,9090.0,
